CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346.0,86,10,230.55,2,5,2,252,Cannot Lose Them
12349.0,9,2,1268.52,5,3,4,534,Loyal Customers
12355.0,6,1,488.21000000000004,5,1,3,513,Recent Customers
12358.0,170,1,1429.83,1,1,5,115,Hibernating
12359.0,65,4,1522.23,2,4,5,245,Cannot Lose Them
12360.0,2,3,780.04,5,4,4,544,Champions
12361.0,17,2,207.35,4,3,1,431,Loyal Customers
12362.0,177,1,130.0,1,1,1,111,Hibernating
12366.0,72,1,500.24,2,1,3,213,Lost
12368.0,66,1,917.6999999999999,2,1,4,214,Lost
12369.0,80,1,348.32,2,1,2,212,Lost
12370.0,63,3,774.62,2,4,4,244,Cannot Lose Them
12371.0,83,2,607.6800000000001,2,3,3,233,At Risk
12373.0,62,2,763.0500000000001,3,3,4,334,Loyal Customers
12374.0,26,1,1388.54,4,1,5,415,Lost
12377.0,27,1,1210.96,4,1,4,414,Lost
12380.0,85,3,3217.3,2,4,5,245,Cannot Lose Them
12388.0,21,1,461.62,4,1,3,413,Lost
12389.0,5,2,563.03,5,3,3,533,Loyal Customers
12391.0,36,4,1902.19,3,4,5,345,Loyal Customers
12392.0,29,1,234.75000000000003,4,1,2,412,Lost
12395.0,41,1,1125.44,3,1,4,314,Lost
12396.0,113,1,931.43,1,1,4,114,Hibernating
12399.0,83,1,205.98,2,1,1,211,Lost
12402.0,39,2,505.35,3,3,3,333,Loyal Customers
12404.0,120,1,63.24,1,1,1,111,Hibernating
12406.0,34,2,1629.2,3,3,5,335,Loyal Customers
12409.0,3,1,6802.48,5,1,5,515,Recent Customers
12416.0,95,1,202.56,2,1,1,211,Lost
12417.0,56,5,1465.95,3,5,5,355,Loyal Customers
12418.0,15,2,879.3100000000001,5,3,4,534,Loyal Customers
12422.0,2,7,2676.34,5,5,5,555,Champions
12426.0,101,1,762.48,2,1,4,214,Lost
12431.0,2,5,1967.76,5,5,5,555,Champions
12435.0,75,2,1736.88,2,3,5,235,At Risk
12437.0,41,8,4261.22,3,5,5,355,Loyal Customers
12439.0,121,2,1158.18,1,3,4,134,At Risk
12440.0,156,1,568.51,1,1,3,113,Hibernating
12443.0,170,1,485.31,1,1,3,113,Hibernating
12455.0,15,3,2929.95,5,4,5,545,Champions
12459.0,43,1,454.36,3,1,3,313,Lost
12466.0,120,1,56.73,1,1,1,111,Hibernating
12468.0,48,2,2329.54,3,3,5,335,Loyal Customers
12470.0,128,1,211.95,1,1,1,111,Hibernating
12471.0,10,23,8916.93,5,5,5,555,Champions
12472.0,31,7,4302.29,4,5,5,455,Champions
12474.0,32,3,1088.3899999999999,4,4,4,444,Champions
12477.0,61,1,2021.23,3,1,5,315,Lost
12481.0,45,2,3275.6,3,3,5,335,Loyal Customers
12482.0,14,29,23691.4,5,5,5,555,Champions
12483.0,33,5,1146.9,3,5,4,354,Loyal Customers
12484.0,88,3,706.8,2,4,4,244,Cannot Lose Them
12487.0,169,1,285.29999999999995,1,1,2,112,Hibernating
12490.0,19,7,2547.17,4,5,5,455,Champions
12494.0,14,1,344.87,5,1,2,512,Recent Customers
12495.0,79,1,357.4,2,1,2,212,Lost
12496.0,58,2,54.09,3,3,1,331,Loyal Customers
12497.0,83,1,1211.76,2,1,4,214,Lost
12500.0,46,6,1327.04,3,5,4,354,Loyal Customers
12503.0,22,1,1126.0,4,1,4,414,Lost
12504.0,35,1,134.4,3,1,1,311,Lost
12507.0,23,1,539.25,4,1,3,413,Lost
12510.0,62,6,3414.23,3,5,5,355,Loyal Customers
12514.0,80,1,580.08,2,1,3,213,Lost
12516.0,37,1,689.46,3,1,3,313,Lost
12523.0,21,5,1379.27,4,5,5,455,Champions
12524.0,64,3,2282.58,2,4,5,245,Cannot Lose Them
12525.0,85,1,566.4300000000001,2,1,3,213,Lost
12530.0,36,2,657.54,3,3,3,333,Loyal Customers
12531.0,124,1,1807.98,1,1,5,115,Hibernating
12533.0,66,2,1367.89,2,3,5,235,At Risk
12539.0,154,2,5149.06,1,3,5,135,At Risk
12540.0,13,10,4065.57,5,5,5,555,Champions
12542.0,78,1,364.79,2,1,2,212,Lost
12549.0,14,6,1575.68,5,5,5,555,Champions
12555.0,120,1,129.23,1,1,1,111,Hibernating
12557.0,161,1,1952.64,1,1,5,115,Hibernating
12567.0,21,2,871.13,4,3,4,434,Loyal Customers
12568.0,83,1,70.0,2,1,1,211,Lost
12570.0,120,1,77.52,1,1,1,111,Hibernating
12577.0,174,1,210.55,1,1,1,111,Hibernating
12580.0,15,1,637.2,5,1,3,513,Recent Customers
12582.0,16,1,837.11,4,1,4,414,Lost
12583.0,6,5,2895.85,5,5,5,555,Champions
12586.0,162,1,422.35,1,1,3,113,Hibernating
12588.0,36,1,328.9,3,1,2,312,Lost
12589.0,128,1,715.5,1,1,4,114,Hibernating
